연도,퇴직연금 인원(명),퇴직연금 평균 연금액,유족연금 인원(명),유족연금 평균 연금액,장해연금 인원(명),장해연금 평균 연금액,장해유족연금 인원(명),장해유족연금 평균 연금액,연계퇴직연금 인원(명),연계퇴직연금 평균연금액
1997,4997,1365170,447,982080,10,934810,0,0,0,0
1998,5863,1351000,528,987410,13,1029520,0,0,0,0
1999,9908,1346800,623,991400,17,1095960,0,0,0,0
2000,12626,1398720,734,1022850,20,1053900,0,0,0,0
2001,13708,1444350,904,1037040,27,1137630,0,0,0,0
2002,14924,1539660,1104,1085710,31,1199110,0,0,0,0
2003,16542,1803990,1319,1262400,36,1243480,3,1720400,0,0
2004,18444,1904880,1528,1316260,42,1263420,3,1782330,0,0
2005,20412,1999670,1743,1377560,44,1376380,5,1336220,0,0
2006,22638,2089270,2011,1414450,51,1419020,6,1310810,0,0
2007,25459,2175180,2292,1444120,57,1372080,8,1341510,0,0
2008,28672,2263700,2580,1479290,63,1377280,9,1350490,0,0
2009,31176,2333180,2875,1509950,68,1399230,10,1365180,7,1168730
2010,34047,2410090,3228,1553530,78,1398360,10,1403400,18,810840
2011,36849,2500430,3585,1598960,88,1420430,12,1480650,42,798900
2012,40116,2618030,3992,1663980,92,1433360,13,1579630,137,747190
2013,43697,2692910,4435,1700770,93,1453730,17,1536590,154,746840
2014,47782,2749300,4884,1732300,97,1467520,18,1583070,240,778320
2015,53170,2817210,5374,1757760,102,1469430,19,1615840,371,788340
2016,57084,2826720,6039,1712750,103,1470090,20,1616250,511,774020
2017,61692,2845480,6672,1672220,107,1423580,21,1607590,684,737940
2018,67607,2859260,7337,1635880,106,1415050,24,1534800,785,712440
2019,73832,2873790,8139,1602110,105,1418240,33,1269340,1001,678720
2020,80594,2892131,8873,1584560,107,1451570,36,1174260,1307,637420
2021,87273,2935580,9571,1582130,107,1427660,41,1175320,1661,616160
2022,94086,2994830,10431,1609570,110,1450390,41,1259590,2143,600450
2023,99389,3159820,11336,1675310,114,1573580,45,1273350,2309,629400
2024,105766,3257510,12152,1733210,119,1578200,48,1335760,2764,642770
2025,111389,3318230,13139,1760030,123,1583580,47,1473250,3344,645220
